"id","register","numtones","midi","forte","har_18_harmonicity","milne_13_harmonicity","parn_88_root_ambig","parn_94_complex","bowl_18_min_freq_dist","hutch_78_roughness","seth_93_roughness","vass_01_roughness","wang_13_roughness","har_19_corpus","SpecSharp","SpecRolloff","SpecFlux","SpecCentr","SpecIrreg","KeyClar","CorpPop","CorpJazz","CorpClas","TonDiss"
"1189","0","6","52-54-55-59-60-62","6-26",0.668983798150781,0.549632170169431,-2.57518522583686,0.0130839479708319,11.0005066350574,0.8647147223219,5.58000846606504,13.3353066094935,1.29599886622931,-10.1417298748832,0.769396,992.546,9.64499,687.989,0.472498,0.896885,-8.8785903016903,-8.72894745499731,-9.2578114306014,1
"1190","0","6","52-54-55-59-60-63","6-19B",0.60930767165259,0.588137971341731,-2.64575131106459,0.015658250258908,11.0005066350574,0.85142363885678,5.50131486271746,12.9867959521349,1.36469197611114,-11.2403421635513,0.769255,1048.73,10.6105,700.613,0.456384,0.872255,-11.1811753946843,-9.98171042349268,-9.2578114306014,0
"1191","0","6","52-54-55-59-60-64","5-20B",0.710979922355992,0.615745707148055,-2.41522945769824,0.0636114618031585,11.0005066350574,0.721462445417705,4.48933022170974,10.3609056067934,1.25677186635364,-9.85404780243143,0.77741,1050.08,8.89047,701.274,0.420968,0.906819,-7.71543949188462,-5.39165387531464,-9.2578114306014,1
"1192","0","6","52-54-55-59-61-62","6-25B",0.65665271873983,0.57755419938634,-2.64575131106459,0.00482207552802855,11.0005066350574,0.847497351906464,5.44298853550489,12.9345444474137,1.38932029514361,-11.2403421635513,0.761034,992.21,12.1138,683.523,0.450611,0.806109,-11.1811753946843,-10.6748576040526,-9.2578114306014,1
"1193","0","6","52-54-55-59-61-63","6-24B",0.621952458608015,0.607479953269488,-2.57518522583686,0.0295237664439066,11.0005066350574,0.802536811244364,5.30013538184045,12.2166484630832,1.27511061337346,-11.2403421635513,0.759382,994.565,11.1418,693.982,0.440397,0.777002,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1194","0","6","52-54-55-59-61-64","5-29B",0.714181011608368,0.641821081952368,-2.48525060873854,0.0599549615787646,11.0005066350574,0.636464423345231,4.27762724073816,9.70636777924065,1.22200100230357,-11.2403421635513,0.765366,1056.47,10.2722,695.684,0.430312,0.820515,-9.23526524562903,-6.7045656905005,-9.2578114306014,1
"1195","0","6","52-54-55-59-62-63","6-14B",0.627934927487147,0.589019741101054,-2.64575131106459,0.00651093749667959,11.0005066350574,0.850867946075799,5.32014353072446,12.319598235895,1.27302797163833,-11.2403421635513,0.759673,992.21,12.7477,687.074,0.443244,0.862769,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1196","0","6","52-54-55-59-62-64","5-27B",0.745377692609482,0.615766179489839,-2.41522945769824,0.0507649438287166,11.0005066350574,0.632575287590358,4.19816159368908,9.42765317839544,1.14822413462547,-4.93955636888808,0.767258,992.546,9.55526,688.91,0.431121,0.89679,-4.76935712697445,-5.57499117622843,-9.2578114306014,1
"1197","0","6","52-54-55-59-63-64","5-17",0.672553571099688,0.660367251142097,-2.41522945769824,0.0295064144682076,11.0005066350574,0.717146066219681,4.28032735898933,9.58410440899125,1.35149522414507,-11.2403421635513,0.766515,999.612,12.2482,700.558,0.427574,0.872043,-11.1811753946843,-9.98171042349268,-9.2578114306014,0
"1198","0","6","52-54-55-60-61-62","6-12A",0.608342617050338,0.550342322369481,-2.57518522583686,0,11.0005066350574,0.996576737859823,5.6209213622069,13.2923836383728,1.34366718411708,-11.2403421635513,0.769993,993.219,12.7612,699.036,0.411881,0.540275,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1199","0","6","52-54-55-60-61-63","6-13",0.548956295414568,0.494866824008179,-2.64575131106459,0.0106193772064933,11.0005066350574,0.919089436216226,5.47785287741995,12.6617159547858,1.25376071794558,-11.2403421635513,0.767841,1099.2,10.5831,711.031,0.398288,0.503832,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1200","0","6","52-54-55-60-61-64","5-19B",0.637761050637526,0.537142482204787,-2.41522945769824,0.0302086290655475,11.0005066350574,0.745647930843848,4.44806517789617,10.1557482884621,1.19276004809069,-11.2403421635513,0.775353,1112.32,10.5351,715.454,0.386226,0.573988,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1201","0","6","52-54-55-60-62-63","6-10B",0.571971676393296,0.585437128094168,-2.57518522583686,0,11.0005066350574,0.939553497741816,5.43974720016848,12.4016976595627,1.33220177894776,-11.2403421635513,0.773282,993.219,12.0477,705.034,0.408653,0.586668,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1202","0","6","52-54-55-60-62-64","5-24B",0.692247534307909,0.608584697273994,-2.35081172990814,0.0614802390714755,11.0005066350574,0.713891721783129,4.31048570471162,9.51406561958198,1.20017621742037,-11.2403421635513,0.781836,995.911,8.55363,709.214,0.39552,0.64887,-11.1811753946843,-10.6748576040526,-9.2578114306014,1
"1203","0","6","52-54-55-60-63-64","5-16B",0.590504840028181,0.55988571539914,-2.41522945769824,0.00225778913552972,11.0005066350574,0.765935739430957,4.39243613888935,9.75774515092129,1.35793463596326,-11.2403421635513,0.779291,1109.97,12.2153,720.907,0.452877,0.618253,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1204","0","6","52-54-55-61-62-63","6-3A",0.559190193317739,0.513887117155152,-2.72245563891909,0,11.0005066350574,1.04031259161629,5.47818408489147,12.556251201579,1.37523315258409,-11.2403421635513,0.758039,992.546,12.0709,697.823,0.457539,0.50348,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1205","0","6","52-54-55-61-62-64","5-12",0.657054367540017,0.557017558298428,-2.48525060873854,0.00959523877549247,11.0005066350574,0.778539621197545,4.33839908934003,9.78422882309722,1.2912630928101,-11.2403421635513,0.764575,992.883,11.6028,702.126,0.442892,0.571295,-11.1811753946843,-10.6748576040526,-9.2578114306014,1
"1206","0","6","52-54-55-61-63-64","5-10B",0.589737145673663,0.561794504577539,-2.48525060873854,0,11.0005066350574,0.798914181648391,4.35618997320092,9.65852302746458,1.31248997167549,-11.2403421635513,0.763839,1112.32,10.9569,712.92,0.4754,0.537907,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1207","0","6","52-54-55-62-63-64","5-3A",0.608790414030976,0.577703658954459,-2.64575131106459,0,11.0005066350574,0.921877916463547,4.47368914782191,9.95091185986142,1.40144905857135,-11.2403421635513,0.767794,992.883,13.7059,705.501,0.477762,0.611395,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1208","0","6","52-54-56-57-58-59","6-9B",0.616596151655046,0.588386084997821,-2.57518522583686,0,12.3476512100274,1.15298346845247,6.70098239461209,16.8699301556605,1.47660751087416,-11.2403421635513,0.786639,1114.68,8.89958,735.316,0.594757,0.776185,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1209","0","6","52-54-56-57-58-60","6-21B",0.558403630057742,0.53997011882145,-2.80624304008046,0.0149886342658284,12.3476512100274,1.0524759726285,6.54450795151926,16.1071478435856,1.3988564703736,-11.2403421635513,0.795662,1115.35,8.57808,762.499,0.368678,0.480016,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1210","0","6","52-54-56-57-58-61","6-46B",0.629666536206407,0.571295603952426,-2.44948974278318,0.0189934117275627,12.3476512100274,0.942815347919679,6.16724048998934,15.2049236893727,1.32731650623084,-11.2403421635513,0.786567,1115.02,8.74901,750.393,0.347183,0.649406,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1211","0","6","52-54-56-57-58-62","6-22B",0.60245168478099,0.55405607703097,-2.57518522583686,0.0243619101503515,12.3476512100274,0.978345167802306,6.12555623798164,14.8122578114867,1.34935093629544,-11.2403421635513,0.786796,1104.25,9.03922,742.185,0.345332,0.515892,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1212","0","6","52-54-56-57-58-63","6-12B",0.608342617050338,0.550342322369481,-2.64575131106459,0.0237457099078121,12.3476512100274,0.984860178839282,5.92867336357969,14.2308576291962,1.31377987593675,-11.2403421635513,0.788553,1115.35,10.8698,754.466,0.331581,0.563541,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1213","0","6","52-54-56-57-58-64","5-9B",0.630655800706731,0.575102444197656,-2.5617376914899,0.0652316291385348,12.3476512100274,0.89774794556787,5.08515879215502,11.8769730329174,1.23327651239211,-11.2403421635513,0.794781,1115.69,8.38804,767.192,0.32503,0.548232,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1214","0","6","52-54-56-57-59-60","6-24B",0.621952458608015,0.607479953269488,-2.57518522583686,0,12.3476512100274,0.96779176539984,6.27575399195825,15.4813116262125,1.45719657882234,-11.2403421635513,0.771288,1104.25,9.07734,729.197,0.59924,0.838171,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1215","0","6","52-54-56-57-59-61","6-32",0.720465344557444,0.556066142622349,-2.57518522583686,0.0196399639704972,12.3476512100274,0.834136737165919,5.84626057034091,14.2228110648589,1.32100247046292,-9.44858269432326,0.764335,1104.59,9.57398,717.835,0.534178,0.871197,-5.48073182129366,-5.71201297379272,-9.2578114306014,1
"1216","0","6","52-54-56-57-59-62","6-33B",0.671816355997307,0.590007269661118,-2.44948974278318,0.0184658041131825,12.3476512100274,0.836708325810486,5.80713368444853,13.9204989306229,1.30779315782246,-5.77228202241619,0.761971,1097.18,9.34628,711.834,0.530765,0.726023,-5.71734358965873,-9.28856324293273,-9.2578114306014,1
"1217","0","6","52-54-56-57-59-63","6-25A",0.65665271873983,0.57755419938634,-2.50998007960223,0.0402787862794203,12.3476512100274,0.836493431302208,5.61889917561919,13.3447542625983,1.2885787431077,-11.2403421635513,0.764082,1104.25,10.9976,725.113,0.512631,0.909071,-10.4880282141244,-10.6748576040526,-9.2578114306014,1
"1218","0","6","52-54-56-57-59-64","5-23B",0.738495545066918,0.634755857196745,-2.35081172990814,0.0794624321916765,12.3476512100274,0.73126091762658,4.70666240656967,10.8967003389096,1.18577105345103,-11.2403421635513,0.7702,1104.59,8.2183,729.078,0.463085,0.862722,-8.23673641551791,-10.6748576040526,-9.2578114306014,1
"1219","0","6","52-54-56-57-60-61","6-31B",0.628716295576922,0.567278680374427,-2.64575131106459,0,12.3476512100274,0.877919599982431,5.91356536874925,14.3742640770038,1.44698875002236,-11.2403421635513,0.77146,1113.67,9.7617,742.644,0.418561,0.688746,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1220","0","6","52-54-56-57-60-62","6-34B",0.606672529396742,0.558379921675964,-2.44948974278318,0.0190388696238765,12.3476512100274,0.852624115321153,5.81632465672139,13.7089838747329,1.39216707000778,-11.2403421635513,0.773683,1103.58,8.23649,735.417,0.373972,0.567794,-9.79488103356445,-5.54495888912955,-9.2578114306014,0
"1221","0","6","52-54-56-57-60-63","6-28",0.56660598818269,0.529392356838225,-2.50998007960223,0.0167369468751839,12.3476512100274,0.819882459831379,5.62787481676954,13.2204675074518,1.38372489469554,-11.2403421635513,0.774536,1115.02,10.6096,750.931,0.365059,0.624693,-8.78328012188597,-7.96680740295041,-9.2578114306014,0
"1222","0","6","52-54-56-57-60-64","5-26A",0.634999617188565,0.594692456775593,-2.64575131106459,0.115763258605828,12.3476512100274,0.707280828682506,4.70835848929853,10.7767266012819,1.32091344930474,-11.2403421635513,0.781977,1115.02,7.96517,757.925,0.364989,0.601002,-11.1811753946843,-7.27366022239047,-9.2578114306014,0
"1223","0","6","52-54-56-57-61-62","6-26",0.668983798150781,0.549632170169431,-2.57518522583686,0,12.3476512100274,0.868615008574122,5.62644760070404,13.3751843444472,1.43072981056021,-11.2403421635513,0.762275,1103.91,11.5241,723.905,0.464175,0.749645,-8.8785903016903,-8.72894745499731,-9.2578114306014,1
"1224","0","6","52-54-56-57-61-63","6-25B",0.65665271873983,0.57755419938634,-2.64575131106459,0.0183840292899599,12.3476512100274,0.804203895887366,5.37383821043534,12.5172826501942,1.28255479571871,-11.2403421635513,0.76343,1112.66,10.6609,737.679,0.452159,0.740341,-11.1811753946843,-10.6748576040526,-9.2578114306014,1
"1225","0","6","52-54-56-57-61-64","5-27B",0.745377692609482,0.615766179489839,-2.41522945769824,0.05020480835457,12.3476512100274,0.655491070278436,4.44379838286975,10.1891514055233,1.28845398269885,-8.75543551376332,0.76851,1114.68,8.98196,745.134,0.427778,0.747859,-4.76935712697445,-5.57499117622843,-9.2578114306014,1
"1226","0","6","52-54-56-57-62-63","6-12A",0.608342617050338,0.550342322369481,-2.57518522583686,0,12.3476512100274,0.933628355101962,5.53167614621303,12.7860739492002,1.41455553588156,-11.2403421635513,0.76597,1103.58,12.935,729.437,0.446322,0.5643,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1227","0","6","52-54-56-57-62-64","5-24B",0.692247534307909,0.608584697273994,-2.35081172990814,0.059854535342393,12.3476512100274,0.732695258906723,4.50216252271436,10.0762783308722,1.34495556144806,-11.2403421635513,0.769756,1103.91,8.1744,736.647,0.422698,0.644352,-11.1811753946843,-10.6748576040526,-9.2578114306014,1
"1228","0","6","52-54-56-57-63-64","5-12",0.657054367540017,0.557017558298428,-2.48525060873854,0.00372782026450485,12.3476512100274,0.797815465511391,4.47457205141034,10.0927238515456,1.45142627196157,-11.2403421635513,0.771173,1115.02,12.8631,749.981,0.515283,0.675586,-11.1811753946843,-10.6748576040526,-9.2578114306014,1
"1229","0","6","52-54-56-58-59-60","6-22B",0.60245168478099,0.55405607703097,-2.57518522583686,0,13.8597698690171,1.01071417651231,6.26751505044315,15.2837819595127,1.5241636449631,-11.2403421635513,0.787554,1115.69,8.72567,733.529,0.576676,0.731177,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1230","0","6","52-54-56-58-59-61","6-33B",0.671816355997307,0.590007269661118,-2.44948974278318,0.0143198095243452,13.8597698690171,0.844034205585237,5.84342758638845,14.1189553918769,1.3667611628887,-11.2403421635513,0.780563,1115.02,8.13058,722.87,0.507521,0.781705,-5.71734358965873,-9.28856324293273,-9.2578114306014,1
"1231","0","6","52-54-56-58-59-62","6-34B",0.606672529396742,0.558379921675964,-2.44948974278318,0.0178628026685077,13.8597698690171,0.839298518448706,5.81282155614768,13.8189118912638,1.32483936891118,-9.63090425111722,0.780959,1051.76,8.53473,716.744,0.508466,0.630723,-9.79488103356445,-5.54495888912955,-9.2578114306014,0
"1232","0","6","52-54-56-58-59-63","6-26",0.668983798150781,0.549632170169431,-2.57518522583686,0.0224394737722429,13.8597698690171,0.815227959116161,5.52095675056481,13.0388001442647,1.30028330893094,-9.0431175862151,0.782581,1115.35,9.70174,728.692,0.490695,0.80182,-8.8785903016903,-8.72894745499731,-9.2578114306014,1
"1233","0","6","52-54-56-58-59-64","5-24B",0.692247534307909,0.608584697273994,-2.35081172990814,0.045687688075474,13.8597698690171,0.742501997696399,4.70555695849376,10.7421317519434,1.22282428011439,-10.5471949829914,0.786697,1115.69,6.8867,734.341,0.44774,0.766937,-11.1811753946843,-10.6748576040526,-9.2578114306014,1
"1234","0","6","52-54-56-58-60-61","6-34B",0.606672529396742,0.558379921675964,-2.44948974278318,0,15.5570656762735,0.867752419276779,5.86421743438498,13.9210908812847,1.46277598264727,-11.2403421635513,0.788078,1142.61,8.72662,747.932,0.336175,0.619147,-9.79488103356445,-5.54495888912955,-9.2578114306014,0
"1235","0","6","52-54-56-58-60-62","6-35",0.570779475170183,0.463306143458219,-2.80624304008046,0.0391836968156233,20.1834328993822,0.835149658834402,5.77549757800874,13.2580793126367,1.45970439006911,-11.2403421635513,0.789764,1115.02,7.93453,741.13,0.348652,0.318096,-11.1811753946843,-10.6748576040526,-9.2578114306014,0
"1236","0","6","52-54-56-58-60-63","6-34A",0.606672529396742,0.558379921675964,-2.44948974278318,0.0163522995825093,20.1834328993822,0.778552338520361,5.48341744130335,12.5651958663811,1.39127937346657,-11.2403421635513,0.790025,1158.76,9.81972,753.558,0.341114,0.508069,-9.79488103356445,-10.6748576040526,-9.2578114306014,0
"1237","0","6","52-54-56-58-60-64","5-33",0.626182489233778,0.515810968471504,-2.5617376914899,0.107705204694709,20.1834328993822,0.698457259627354,4.66073809081082,10.2728404915787,1.42314525526508,-11.2403421635513,0.797924,1159.09,6.94333,763.366,0.347421,0.496381,-11.1811753946843,-7.30756177406615,-9.2578114306014,0
"1238","0","6","52-54-56-58-61-62","6-34A",0.606672529396742,0.558379921675964,-2.44948974278318,0,16.4821369405355,0.818115609394224,5.59102647955403,13.0179537760689,1.50793644567795,-11.2403421635513,0.780384,1113.67,10.4686,729.651,0.306887,0.518046,-9.79488103356445,-10.6748576040526,-9.2578114306014,0
